code,floor,tradingDate,time,tradingDate_Time,open,high,low,last,adLast,accumulatedVal,accumulatedVol,lastVol
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.98919E+11,16506900,3000
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.98928E+11,16507200,200
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.99085E+11,16512400,200
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.99134E+11,16514000,100
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.99179E+11,16515500,1500
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.99182E+11,16515600,100
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.99242E+11,16517600,2000
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,5.00179E+11,16548600,10000
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,5.00194E+11,16549100,500
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,5.00215E+11,16549800,200
TCB,HOSE,23/05/2025,14:26:37,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.9881E+11,16503300,100
TCB,HOSE,23/05/2025,14:26:36,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.98807E+11,16503200,500
TCB,HOSE,23/05/2025,14:26:25,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.98792E+11,16502700,300
TCB,HOSE,23/05/2025,14:26:23,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.98783E+11,16502400,100
TCB,HOSE,23/05/2025,14:26:23,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.96515E+11,16427300,1000
TCB,HOSE,23/05/2025,14:26:23,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.96576E+11,16429300,2000
TCB,HOSE,23/05/2025,14:26:23,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.96727E+11,16434300,5000
TCB,HOSE,23/05/2025,14:26:23,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.96787E+11,16436300,2000
TCB,HOSE,23/05/2025,14:26:23,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.98297E+11,16486300,50000
TCB,HOSE,23/05/2025,14:26:23,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.98327E+11,16487300,1000
TCB,HOSE,23/05/2025,14:26:23,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.9833E+11,16487400,100
TCB,HOSE,23/05/2025,14:26:23,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.98333E+11,16487500,100
TCB,HOSE,23/05/2025,14:26:23,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.98406E+11,16489900,2400
TCB,HOSE,23/05/2025,14:26:23,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.98457E+11,16491600,1700
TCB,HOSE,23/05/2025,14:26:23,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.98759E+11,16501600,10000
TCB,HOSE,23/05/2025,14:26:23,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.9878E+11,16502300,700
TCB,HOSE,23/05/2025,14:26:21,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.96485E+11,16426300,100
TCB,HOSE,23/05/2025,14:26:11,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.96482E+11,16426200,1000
TCB,HOSE,23/05/2025,14:26:10,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.96346E+11,16421700,8200
TCB,HOSE,23/05/2025,14:26:10,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.96349E+11,16421800,100
TCB,HOSE,23/05/2025,14:26:10,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.96355E+11,16422000,200
TCB,HOSE,23/05/2025,14:26:10,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.9637E+11,16422500,500
TCB,HOSE,23/05/2025,14:26:10,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.96385E+11,16423000,500
TCB,HOSE,23/05/2025,14:26:10,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.96388E+11,16423100,100
TCB,HOSE,23/05/2025,14:26:10,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.96394E+11,16423300,200
TCB,HOSE,23/05/2025,14:26:10,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.96425E+11,16424300,1000
TCB,HOSE,23/05/2025,14:26:10,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.9644E+11,16424800,500
TCB,HOSE,23/05/2025,14:26:10,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.96446E+11,16425000,200
TCB,HOSE,23/05/2025,14:26:10,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.96452E+11,16425200,200
TCB,HOSE,23/05/2025,14:26:10,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.96098E+11,16413500,1100
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.95777E+11,16402900,500
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.95807E+11,16403900,1000
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.95868E+11,16405900,2000
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.95944E+11,16408400,2500
